,date_time,H,LE,G,NETRAD,WS,MO_LENGTH,V_SIGMA,USTAR,WD,H_gapfill,LE_gapfill,G_gapfill,NETRAD_gapfill,no_LE_data
0,2023-04-19 15:00:00,,,,,5.893475,-16.03679,1.370334,0.3365702,257.802,,,,,1
1,2023-04-19 15:30:00,,,,,5.648222,-17.87385,1.375171,0.3350608,256.1582,,,,,1
2,2023-04-19 16:00:00,,,,,6.036268,-30.38585,1.54955,0.4016894,256.58221000000003,,,,,1
3,2023-04-19 16:30:00,,,,,6.178077,-30.55107,1.336602,0.380138,256.73871,,,,,1
4,2023-04-19 17:00:00,,,,,6.542054,-49.52248,1.32716,0.4184163,252.53391,,,,,1
5,2023-04-19 17:30:00,,,,,6.442924,-53.31368,1.215856,0.3789922,255.26883,,,,,1
6,2023-04-19 18:00:00,,,,,6.41806,-95.72562,1.065935,0.393178,256.89581,,,,,1
7,2023-04-19 18:30:00,,,,,6.194043,-311.0556,1.021128,0.3771415,256.49799,,,,,1
8,2023-04-19 19:00:00,,,,,5.884953,325.952,1.053396,0.3369294,259.76578,,,,,1
9,2023-04-19 19:30:00,,,,,6.436169,145.5799,0.8614555,0.3908515,273.97595,,,,,1
10,2023-04-19 20:00:00,,,,,5.160772,97.63425,1.206143,0.3504028,254.88751,,,,,1
11,2023-04-19 20:30:00,,,,,4.767238,147.1962,0.880206,0.2423576,220.8079,,,,,1
12,2023-04-19 21:00:00,,,,,3.794793,45.76965,0.7092428,0.2254272,225.4871,,,,,1
13,2023-04-19 21:30:00,,,,,3.35952,33.86312,0.6767277,0.1692493,205.3382,,,,,1
14,2023-04-19 22:00:00,,,,,2.996864,26.18313,0.4784812,0.1630162,211.7274,,,,,1
15,2023-04-19 22:30:00,,,,,3.035895,18.59027,0.3110673,0.1378418,209.2846,,,,,1
16,2023-04-19 23:00:00,,,,,2.6489,12.96965,0.2816422,0.1169623,204.5782,,,,,1
17,2023-04-19 23:30:00,,,,,2.596281,-195.6867,0.508442,0.1055339,218.25510000000003,,,,,1
18,2023-04-20 00:00:00,-5.176684,-0.5364426,-30.91608,-73.53238,1.208317,3.457213,0.2772964,0.05857626,260.36096,-5.176684,-0.5364426,-30.91608,-73.53238,0
19,2023-04-20 00:30:00,-3.598761,-2.247796,-42.90942,-72.39371,1.584862,23.54515,0.4307292,0.0993555,236.8421,-3.598761,-2.247796,-42.90942,-72.39371,0
