date,gridMET_ETo
2024-04-10,5.1000000000000005
2024-04-11,5.0
2024-04-12,3.2
2024-04-13,1.6
2024-04-14,2.9000000000000004
2024-04-15,3.8
2024-04-16,4.5
2024-04-17,5.1000000000000005
2024-04-18,4.1000000000000005
2024-04-19,4.4
2024-04-20,4.800000000000001
2024-04-21,4.7
2024-04-22,4.0
2024-04-23,4.7
2024-04-24,4.2
2024-04-25,4.0
2024-04-26,4.0
2024-04-27,4.4
2024-04-28,4.7
2024-04-29,5.1000000000000005
2024-04-30,5.1000000000000005
2024-05-01,6.5
2024-05-02,5.6000000000000005
2024-05-03,5.1000000000000005
2024-05-04,1.9
2024-05-05,4.2
2024-05-06,4.6000000000000005
2024-05-07,5.1000000000000005
2024-05-08,6.5
2024-05-09,6.5
2024-05-10,6.4
2024-05-11,5.300000000000001
2024-05-12,5.300000000000001
2024-05-13,5.2
2024-05-14,4.800000000000001
2024-05-15,5.0
2024-05-16,5.300000000000001
2024-05-17,4.7
2024-05-18,4.7
2024-05-19,5.300000000000001
2024-05-20,5.6000000000000005
2024-05-21,6.2
2024-05-22,5.6000000000000005
2024-05-23,5.800000000000001
2024-05-24,5.2
2024-05-25,4.2
2024-05-26,4.7
2024-05-27,4.800000000000001
2024-05-28,5.1000000000000005
2024-05-29,6.4
2024-05-30,6.5
2024-05-31,5.4
2024-06-01,4.9
2024-06-02,5.2
2024-06-03,4.4
2024-06-04,7.0
2024-06-05,6.4
2024-06-06,4.4
2024-06-07,4.800000000000001
2024-06-08,4.4
2024-06-09,5.0
2024-06-10,5.5
2024-06-11,6.2
2024-06-12,4.1000000000000005
2024-06-13,4.5
2024-06-14,6.6000000000000005
