,date_time,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,TIMESTAMP_START,TIMESTAMP_END,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,FC_SSITC_TEST,LE,LE_SSITC_TEST,ET,ET_SSITC_TEST,H,H_SSITC_TEST,G,SG,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,WD,WS,WS_MAX,USTAR,ZL,TAU,TAU_SSITC_TEST,MO_LENGTH,U,U_SIGMA,V,V_SIGMA,W,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,T_DP_1_1_1,TA_1_1_2,RH_1_1_2,T_DP_1_1_2,VPD,T_SONIC,T_SONIC_SIGMA,PBLH,TS_1_1_1,TS_1_1_2,SWC_1_1_1,SWC_1_1_2,ALB,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H_pi_flag,LE_pi_flag,G_pi_flag,NETRAD_pi_flag,H_filt_1,LE_filt_1,G_filt_1,NETRAD_filt_1,H.1,LE.1,G.1,NETRAD.1,canopy_height_m,instr_height_m
0,2024-04-10 11:00:00,0,0,0,202404101125.0,202404101130.0,435.3987,5.794471,10.92647,0.9317972,6.115915,7.0,237.8282,5.0,0.3503372,5.0,197.9988,5.0,,15818.1,6.88483,43.336,14.38925,10.57338,231.0488,1.181668,5.357016,0.09368927,-5.599736,0.0104267,9.0,-0.3440125,1.07144,0.5304364,0.0,0.5327085,3.72529e-09,0.2275228,75.53619,18.60591,34.5148,8.310137,24.15266,36.43531,8.260694,19.39388,25.2301,1.75365,2093.12,15.21735,14.11393,54.35315,60.77868,9.027729,657.6774,921.5076,82.46043,346.9686,528.3384,bad,bad,bad,bad,,,,,,,,,0.1,2.0
1,2024-04-10 11:30:00,1,1,1,202404101132.0,202404101200.0,437.5006,5.580335,10.66063,0.7338061,3.5973,4.0,193.4298,2.0,0.2851468,2.0,202.5496,1.0,222.7908,180.4601,2.205075,19.9173,6.063445,3.722456,300.0215,1.051614,3.888239,0.1808462,-0.785447,0.0387576,7.0,-2.45259,0.6359459,0.627621,0.0,0.8120594,3.72529e-09,0.2748304,97.17858,24.47672,32.5173,7.956402,24.91961,33.8574,7.920569,20.97287,25.90021,1.035438,2050.948,15.53842,14.76862,53.27661,60.5096,8.053061,656.7415,921.9155,74.15372,348.8886,539.909,bad,bad,bad,bad,,,,,,,,,0.1,2.0
2,2024-04-10 12:00:00,2,2,2,202404101200.0,202404101230.0,438.0982,1.365126,11.45225,1.216355,1.231959,3.0,309.4457,3.0,0.4567003,3.0,223.6366,3.0,95.22495,59.96588,32.51583,89.67143,46.2148,34.97953,283.9656,2.2458,5.130375,0.2309613,-0.4270184,0.06292005,6.0,-4.511233,1.900122,1.093833,0.0,1.064353,3.72529e-09,0.2848146,101.7406,26.3222,33.48295,8.929945,26.11136,33.79857,8.919907,22.53319,27.19534,1.238362,2009.775,15.93692,14.95743,53.05685,60.54275,7.943265,667.5975,933.5874,74.22733,353.3338,545.0962,bad,bad,bad,bad,,,,,,,,,0.1,2.0
3,2024-04-10 12:30:00,3,3,3,202404101230.0,202404101300.0,437.7759,1.143398,12.11467,1.356686,2.167747,3.0,322.5385,3.0,0.4764325,3.0,194.1755,3.0,84.04742,52.55284,33.11764,91.3321,47.07087,35.62741,290.1801,3.719224,7.4033,0.2459485,-0.3121189,0.07108999,7.0,-6.17194,3.511245,0.8738022,0.0,1.186945,0.0,0.2964227,101.6938,26.81,34.3491,9.71845,26.9971,33.90477,9.728149,23.70163,28.14668,1.222267,1976.561,16.11997,15.08083,53.15266,60.64698,8.19007,662.054,918.5393,75.2297,356.8049,538.0605,bad,bad,bad,bad,,,,,,,,,0.1,2.0
4,2024-04-10 13:00:00,4,4,4,202404101300.0,202404101330.0,435.6548,0.8704127,11.1007,1.195162,1.231667,3.0,280.4958,3.0,0.4145384,3.0,196.3445,3.0,83.82401,53.62982,35.71161,98.48167,50.75934,38.41901,297.5996,4.239919,8.428098,0.2835764,-0.2033821,0.09434376,7.0,-9.471722,4.086521,0.939223,0.0,1.117503,3.72529e-09,0.3110282,101.6563,27.28596,30.61844,8.437048,27.51549,30.16711,8.448659,25.81391,28.57123,1.170304,1910.566,16.28919,15.20752,53.23974,60.75107,8.280956,649.2258,902.1274,74.78831,359.0102,537.1235,bad,bad,bad,bad,,,,,,,,,0.1,2.0
5,2024-04-10 13:30:00,5,5,5,202404101330.0,202404101400.0,442.4764,2.785951,12.63274,1.178755,1.525529,3.0,340.8939,3.0,0.503883,3.0,286.233,3.0,93.79653,63.70825,37.17968,102.5392,52.84884,40.00026,308.0057,5.361787,8.585314,0.3691581,-0.1324858,0.1596512,7.0,-14.54028,5.219225,0.9688598,0.0,1.214561,3.72529e-09,0.3850098,101.6249,27.40645,34.548,10.34297,27.68614,33.98116,10.35718,24.68566,28.8872,1.299249,1809.194,16.46334,15.35524,53.34086,60.87652,8.333646,615.669,854.8718,71.25776,361.9277,529.8728,bad,bad,bad,bad,,,,,,,,,0.1,2.0
6,2024-04-10 14:00:00,6,6,6,202404101400.0,202404101430.0,440.7328,1.370224,12.45699,0.8272411,1.145222,3.0,240.5054,3.0,0.3553599,3.0,243.6213,3.0,88.40426,57.82037,37.77604,104.204,53.70057,40.64453,315.7265,6.04835,9.88527,0.3931402,-0.09227101,0.1812515,3.0,-20.87741,5.899572,0.883837,0.0,1.346402,0.0,0.4019467,101.5879,26.97569,34.91629,10.15812,27.29051,34.28288,10.17401,23.98772,28.47342,1.124014,1682.452,16.66761,15.51662,53.48309,60.99376,8.395906,557.54,781.0665,65.58594,359.7883,517.7288,bad,bad,bad,bad,,,,,,,,,0.1,2.0
7,2024-04-10 14:30:00,7,7,7,202404101430.0,202404101500.0,441.5479,1.020986,13.2121,0.6537974,0.7116383,1.0,167.8334,1.0,0.2478585,1.0,242.9783,1.0,100.3442,69.06419,36.89129,101.7866,52.44632,39.6949,320.2774,6.68544,10.42043,0.4187063,-0.07482501,0.2058112,1.0,-25.74513,6.586282,1.043381,0.0,1.150144,0.0,0.440957,101.5497,26.49101,38.07307,11.03875,26.77291,37.47275,11.05303,22.14187,28.02474,1.00272,1585.097,16.87494,15.66328,53.69187,61.14571,8.369233,501.6454,708.2818,59.3659,359.357,506.6276,bad,bad,bad,bad,,,,,,,,,0.1,2.0
8,2024-04-10 15:00:00,8,8,8,202404101500.0,202404101530.0,442.2038,0.8640175,13.76335,0.5255584,0.8912318,1.0,177.2359,1.0,0.2615449,1.0,213.8441,1.0,112.2973,80.4041,39.59148,109.2453,56.28886,42.60282,317.6541,6.726214,10.38618,0.4522133,-0.05270296,0.2405733,7.0,-36.55164,6.574655,0.9941423,0.0,1.433442,-3.72529e-09,0.4359961,101.5171,25.69573,41.52924,11.6486,25.98756,40.8552,11.66347,19.99923,27.28783,0.9967721,1496.83,17.07468,15.79798,53.9956,61.2894,8.43693,444.007,639.5687,53.99726,356.5241,498.0885,bad,bad,bad,bad,,,,,,,,,0.1,2.0
9,2024-04-10 15:30:00,9,9,9,202404101530.0,202404101600.0,442.3511,0.9491325,13.66614,0.5170924,-1.066528,1.0,164.6488,1.0,0.2426324,1.0,189.5102,1.0,77.83459,45.36776,37.83747,104.4125,53.79496,40.71531,305.5844,6.806176,10.25304,0.4106232,-0.06252845,0.1992814,1.0,-30.80804,6.709672,0.9845214,0.0,1.135988,0.0,0.4189694,101.497,24.214,45.03294,11.5378,24.55095,44.18346,11.55498,17.32426,25.83585,0.9054451,1499.609,17.26728,15.93717,54.41122,61.39141,8.551236,374.0302,555.5254,47.48081,349.3428,483.3572,bad,bad,bad,bad,,,,,,,,,0.1,2.0
10,2024-04-10 16:00:00,10,10,10,202404101600.0,202404101630.0,443.0342,0.7361254,12.87021,0.530629,-0.0236857,1.0,114.0161,1.0,0.1678377,1.0,126.299,1.0,84.87298,52.01679,36.31252,100.2121,51.62696,39.07442,302.9812,6.698744,9.971463,0.3688065,-0.05764914,0.1613814,2.0,-33.41558,6.632154,0.8845714,0.0,0.9348578,0.0,0.396159,101.4797,23.11114,45.33621,10.64204,23.43964,44.48926,10.65872,16.09485,24.64569,0.6627538,1498.347,17.43578,16.05903,54.4726,61.52322,8.628335,243.1532,399.7928,34.50676,343.6305,465.7633,bad,bad,bad,bad,,,,,,,,,0.1,2.0
11,2024-04-10 16:30:00,11,11,11,202404101630.0,202404101700.0,438.8276,1.834112,11.87644,0.6558693,0.08221127,1.0,109.9067,1.0,0.161656,1.0,73.90498,1.0,69.02437,36.22787,33.20358,91.64855,47.20712,35.7292,296.292,6.993062,10.01754,0.3546191,-0.0392725,0.149645,1.0,-49.0516,6.937279,0.8804707,0.0,0.8815212,7.450581e-09,0.4260126,101.4518,22.28097,44.02437,9.444262,22.59255,43.23474,9.459966,15.62352,23.70292,0.4375174,1490.782,17.56019,16.16947,54.56376,61.64944,8.889124,169.4807,307.5446,27.33041,339.3987,450.1323,bad,bad,bad,bad,,,,,,,,,0.1,2.0
12,2024-04-10 17:00:00,12,12,12,202404101700.0,202404101730.0,435.237,0.4652923,10.3253,0.3887466,0.1211846,1.0,88.46994,1.0,0.1300852,1.0,44.78206,1.0,68.51276,36.32812,34.69262,95.75264,49.32449,37.33171,302.2153,6.15482,9.785206,0.3322178,-0.02976492,0.1315501,2.0,-64.71979,6.10181,1.047488,0.0,0.806998,3.72529e-09,0.3778053,101.4479,22.05903,38.88104,7.41895,22.26943,38.40618,7.429392,16.62339,23.23456,0.2661602,1483.2,17.65763,16.22813,54.69392,61.74551,9.461767,110.8373,235.2379,22.21115,338.1536,440.343,bad,bad,bad,bad,,,,,,,,,0.1,2.0
