date_time,WS,USTAR,WD,V_SIGMA,MO_LENGTH,instr_height_m,canopy_height_m,Z0_roughness
2024-04-10 11:00:00,1.181668,0.09368927,231.0488,0.5327085,-0.3440125,2.0,0.1,0.015
2024-04-10 11:30:00,1.051614,0.1808462,300.0215,0.8120594,-2.45259,2.0,0.1,0.015
2024-04-10 12:00:00,2.2458,0.2309613,283.9656,1.064353,-4.511233,2.0,0.1,0.015
2024-04-10 12:30:00,3.719224,0.2459485,290.1801,1.186945,-6.17194,2.0,0.1,0.015
2024-04-10 13:00:00,4.239919,0.2835764,297.5996,1.117503,-9.471722,2.0,0.1,0.015
2024-04-10 13:30:00,5.361787,0.3691581,308.0057,1.214561,-14.54028,2.0,0.1,0.015
2024-04-10 14:00:00,6.04835,0.3931402,315.7265,1.346402,-20.87741,2.0,0.1,0.015
2024-04-10 14:30:00,6.68544,0.4187063,320.2774,1.150144,-25.74513,2.0,0.1,0.015
2024-04-10 15:00:00,6.726214,0.4522133,317.6541,1.433442,-36.55164,2.0,0.1,0.015
2024-04-10 15:30:00,6.806176,0.4106232,305.5844,1.135988,-30.80804,2.0,0.1,0.015
2024-04-10 16:00:00,6.698744,0.3688065,302.9812,0.9348578,-33.41558,2.0,0.1,0.015
2024-04-10 16:30:00,6.993062,0.3546191,296.292,0.8815212,-49.0516,2.0,0.1,0.015
2024-04-10 17:00:00,6.15482,0.3322178,302.2153,0.806998,-64.71979,2.0,0.1,0.015
2024-04-10 17:30:00,5.303872,0.3168603,294.9156,0.9793313,1708.984,2.0,0.1,0.015
2024-04-10 18:00:00,4.743897,0.2184649,290.8685,0.476504,70.29653,2.0,0.1,0.015
2024-04-10 18:30:00,3.532112,0.1648188,278.4152,0.514389,17.09139,2.0,0.1,0.015
2024-04-10 19:00:00,3.826488,0.1735594,280.1597,0.4755633,27.72367,2.0,0.1,0.015
2024-04-10 19:30:00,4.046511,0.182024,280.7645,0.410745,48.82765,2.0,0.1,0.015
2024-04-10 20:00:00,3.793112,0.1944716,290.522,0.39453,34.73548,2.0,0.1,0.015
2024-04-10 20:30:00,2.775236,0.1335806,290.1327,0.3101496,24.48062,2.0,0.1,0.015
2024-04-10 21:00:00,1.77508,0.08949106,303.195,0.2815832,15.85442,2.0,0.1,0.015
2024-04-10 21:30:00,1.347338,0.1038377,304.1046,0.4774228,-96.59141,2.0,0.1,0.015
2024-04-10 22:00:00,0.7878777,0.03112047,320.9837,0.136807,3.194156,2.0,0.1,0.015
2024-04-10 22:30:00,0.9287112,0.03779301,68.62567,0.3270455,-24.33369,2.0,0.1,0.015
2024-04-10 23:00:00,0.7561993,0.09394866,135.7472,0.4674604,4.631177,2.0,0.1,0.015
2024-04-10 23:30:00,0.6807537,0.04080221,81.65326,0.2337424,2.323092,2.0,0.1,0.015
2024-04-11 00:00:00,0.9647713,0.01517709,53.65631,0.1383102,1.224554,2.0,0.1,0.015
2024-04-11 00:30:00,0.8635878,0.03087901,88.64074,0.2212431,5.94968,2.0,0.1,0.015
2024-04-11 01:00:00,1.512946,0.06011434,104.5581,0.2249328,5.820086,2.0,0.1,0.015
2024-04-11 01:30:00,1.316764,0.09941658,84.50782,0.2099252,-26.37951,2.0,0.1,0.015
2024-04-11 02:00:00,1.71995,0.09809601,91.77838,0.2280849,11.36104,2.0,0.1,0.015
2024-04-11 02:30:00,2.0207,0.07715887,101.7865,0.1617492,6.768742,2.0,0.1,0.015
2024-04-11 03:00:00,2.047426,0.1160719,102.117,0.2560317,-9.814602,2.0,0.1,0.015
2024-04-11 03:30:00,2.745463,0.1817977,96.61572,0.3562861,63.67336,2.0,0.1,0.015
2024-04-11 04:00:00,2.236236,0.2208675,117.4402,0.6046592,151.9401,2.0,0.1,0.015
2024-04-11 04:30:00,2.218356,0.1585924,95.48514,0.418999,32.84252,2.0,0.1,0.015
2024-04-11 05:00:00,2.291339,0.1161661,102.9258,0.270406,31.43371,2.0,0.1,0.015
2024-04-11 05:30:00,2.035114,0.1034212,111.9256,0.2063455,14.07819,2.0,0.1,0.015
2024-04-11 06:00:00,3.208701,0.1658614,110.1251,0.3823304,475.0803,2.0,0.1,0.015
2024-04-11 06:30:00,3.54766,0.1833533,108.5827,0.464059,-52.19795,2.0,0.1,0.015
2024-04-11 07:00:00,4.31771,0.2185568,112.174,0.4996814,-39.45531,2.0,0.1,0.015
2024-04-11 07:30:00,4.376159,0.2387307,135.3431,0.8716435,-36.75764,2.0,0.1,0.015
2024-04-11 08:00:00,4.269363,0.2236267,137.1835,0.8125566,-36.51334,2.0,0.1,0.015
2024-04-11 08:30:00,4.168652,0.3386255,127.5587,1.029036,-71.84871,2.0,0.1,0.015
2024-04-11 09:00:00,3.61714,0.2819443,137.8515,0.8411064,-23.25154,2.0,0.1,0.015
2024-04-11 09:30:00,,,,,,2.0,0.1,0.015
2024-04-11 10:00:00,,,,,,2.0,0.1,0.015
2024-04-11 10:30:00,3.582185,0.2775533,135.2946,1.076011,-55.80037,2.0,0.1,0.015
2024-04-11 11:00:00,3.106504,0.2601458,118.7732,0.8878139,-22.79038,2.0,0.1,0.015
2024-04-11 11:30:00,2.54516,0.198433,107.221,0.7093542,-9.306964,2.0,0.1,0.015
2024-04-11 12:00:00,1.498433,0.2050887,113.6786,0.8083403,-8.828198,2.0,0.1,0.015
2024-04-11 12:30:00,1.312467,0.1639945,313.8958,0.6724177,-4.238997,2.0,0.1,0.015
2024-04-11 13:00:00,1.395413,0.2543122,276.2728,0.7826487,-10.79877,2.0,0.1,0.015
2024-04-11 13:30:00,2.712846,0.1146433,278.6439,0.9660005,-1.029554,2.0,0.1,0.015
2024-04-11 14:00:00,4.133014,0.3304263,293.9174,1.509647,-19.12358,2.0,0.1,0.015
2024-04-11 14:30:00,5.92661,0.4034465,306.9938,1.520513,-28.7592,2.0,0.1,0.015
2024-04-11 15:00:00,6.954512,0.403625,304.3733,1.101236,-30.76965,2.0,0.1,0.015
2024-04-11 15:30:00,7.698742,0.4270697,304.6229,1.151084,-33.96428,2.0,0.1,0.015
2024-04-11 16:00:00,7.506671,0.4635455,307.9706,1.345671,-44.09334,2.0,0.1,0.015
2024-04-11 16:30:00,7.286656,0.429878,309.288,1.212356,-44.1268,2.0,0.1,0.015
2024-04-11 17:00:00,7.434192,0.4402756,310.4427,1.403175,-61.89219,2.0,0.1,0.015
2024-04-11 17:30:00,7.114762,0.3970938,307.5562,1.033465,-58.49872,2.0,0.1,0.015
2024-04-11 18:00:00,7.080343,0.3619366,303.8674,0.7963926,-113.486,2.0,0.1,0.015
2024-04-11 18:30:00,6.796757,0.358595,308.0099,0.9168162,-177.6342,2.0,0.1,0.015
2024-04-11 19:00:00,5.567462,0.3384099,307.7632,0.9232719,172.1392,2.0,0.1,0.015
2024-04-11 19:30:00,4.830758,0.2291878,284.9904,0.6232308,82.72545,2.0,0.1,0.015
2024-04-11 20:00:00,4.581189,0.2194638,282.4747,0.5940184,43.61616,2.0,0.1,0.015
2024-04-11 20:30:00,3.917228,0.1847231,272.0898,0.4968098,45.33245,2.0,0.1,0.015
2024-04-11 21:00:00,3.249607,0.1449044,275.5347,0.4702212,31.19734,2.0,0.1,0.015
2024-04-11 21:30:00,2.057482,0.08685901,289.4285,0.2460559,9.955062,2.0,0.1,0.015
2024-04-11 22:00:00,2.298496,0.140353,317.6653,0.3089885,20.74331,2.0,0.1,0.015
2024-04-11 22:30:00,3.326935,0.1771254,326.4458,0.4671496,35.0688,2.0,0.1,0.015
2024-04-11 23:00:00,1.72786,0.1697212,305.5325,0.6608472,19.20859,2.0,0.1,0.015
2024-04-11 23:30:00,0.7033175,0.03582269,264.3353,0.1759318,10.26243,2.0,0.1,0.015
